Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
3,Mr. Carl Olof Jansson,male,21.0,0,0,7.7958,1
3,Mr. Tannous Doharr,male,28.0,0,0,7.2292,0
3,Miss. Margaret Delia Devaney,female,19.0,0,0,7.8792,1
3,Mr. Lee Bing,male,32.0,0,0,56.4958,1
3,Mr. Richard Cater Nosworthy,male,21.0,0,0,7.8,0
3,Mr. John Hall Lovell,male,20.5,0,0,7.25,0
3,Mr. Ole Martin Olsen,male,27.0,0,0,7.3125,0
3,Mr. Thomas O'Brien,male,27.0,1,0,15.5,0
3,Mr. Rene Aime Lievens,male,24.0,0,0,9.5,0
2,Mr. John Denzil Jarvis,male,47.0,0,0,15.0,0
1,Col. Oberst Alfons Simonius-Blumer,male,56.0,0,0,35.5,1
3,Mrs. Mara Osman,female,31.0,0,0,8.6833,1
3,Mr. James Kelly,male,44.0,0,0,8.05,0
3,Mr. Claus Peter Hansen,male,41.0,2,0,14.1083,0
3,Mrs. Johan (Johanna Persdotter Larsson) Ahlin,female,40.0,1,0,9.475,0
3,Mr. Nedelio Petroff,male,19.0,0,0,7.8958,0
3,Mr. Guentcho Bostandyeff,male,26.0,0,0,7.8958,0
2,Mr. Leonard Mark Hickman,male,24.0,2,0,73.5,0
1,Miss. Amelie Icard,female,38.0,0,0,80.0,1
2,Mr. George Harris,male,62.0,0,0,10.5,1
3,Mrs. (Hedwig) Turkula,female,63.0,0,0,9.5875,1
3,Mr. Edvard Pekoniemi,male,21.0,0,0,7.925,0
2,Miss. Marion Louise Becker,female,4.0,2,1,39.0,1
3,Mr. Ristiu Dantcheff,male,25.0,0,0,7.8958,0
3,Mr. Rossmore Edward Abbott,male,16.0,1,1,20.25,0
3,Mr. Victor Francis Sunderland,male,16.0,0,0,8.05,1
3,Mr. Fridtjof Arne Madsen,male,24.0,0,0,7.1417,1
2,Miss. Anna Sinkkonen,female,30.0,0,0,13.0,1
3,Mrs. Thomas (Johanna Godfrey) O'Brien,female,26.0,1,0,15.5,1
2,Mr. Charles Eugene Williams,male,23.0,0,0,13.0,1
3,Miss. Telma Matilda Strom,female,2.0,0,1,10.4625,0
1,Mr. John Borland Jr Thayer,male,17.0,0,2,110.8833,1
2,Mrs. James (Elizabeth Inglis Milne) Watt,female,40.0,0,0,15.75,1
2,Dr. Ernest Moraweck,male,54.0,0,0,14.0,0
3,Mr. Jan Baptist Sheerlinck,male,29.0,0,0,9.5,1
3,Mrs. Frederick (Augusta Tyler) Goodwin,female,43.0,1,6,46.9,0
2,Mrs. (Rosa) Pinsky,female,32.0,0,0,13.0,1
2,Mrs. Charles V (Ada Maria Winfield) Clarke,female,28.0,1,0,26.0,1
3,Mr. Patrick Ryan,male,30.0,0,0,24.15,0
1,Mr. Austen Partner,male,45.5,0,0,28.5,0
3,Mr. Jakob Pasic,male,21.0,0,0,8.6625,0
1,Mr. George Wright,male,62.0,0,0,26.55,0
1,Mr. William Henry Marsh Parr,male,30.0,0,0,0.0,0
3,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,female,38.0,1,5,31.3875,1
2,Miss. Alice Herman,female,24.0,1,2,65.0,1
3,Mr. Rahamin Haim Moutal,male,28.0,0,0,8.05,0
1,Mr. Frederic Kimber Seward,male,34.0,0,0,26.55,1
3,Mr. Thomas Leonard Theobald,male,34.0,0,0,8.05,0
3,Miss. Jamila Nicola-Yarred,female,14.0,1,0,11.2417,1
3,Mr. Ernesti Arvid Panula,male,16.0,4,1,39.6875,0
3,Mr. Cerin Balkic,male,26.0,0,0,7.8958,0
2,Miss. Nora A Keane,female,46.0,0,0,12.35,1
3,Mrs. Fatima Masselmani,female,22.0,0,0,7.225,1
1,Mr. Charles H Natsch,male,37.0,0,1,29.7,0
3,Mr. Karl Alfred Backstrom,male,32.0,1,0,15.85,0
1,Mr. James Clinch Smith,male,56.0,0,0,30.6958,0
1,Jonkheer. John George Reuchlin,male,38.0,0,0,0.0,0
3,Mr. Gustaf Hjalmar Edvardsson,male,18.0,0,0,7.775,0
2,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,female,27.0,1,0,21.0,0
1,Mr. Norman Campbell Chambers,male,27.0,1,0,53.1,1
3,Miss. Agda Thorilda Viktoria Lindahl,female,25.0,0,0,7.775,0
3,Mr. William Morley,male,34.0,0,0,8.05,0
2,Mr. Michel Navratil,male,36.5,0,2,26.0,0
3,Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,female,24.0,0,2,16.7,1
3,Mr. Milan Karaic,male,30.0,0,0,7.8958,0
2,Miss. Joan Wells,female,4.0,1,1,23.0,1
3,Mr. Marin Markoff,male,35.0,0,0,7.8958,0
3,Mr. Henrik Juul Hansen,male,26.0,1,0,7.8542,0
1,Mr. Richard Leonard Beckwith,male,37.0,1,1,52.5542,1
3,Miss. Margaret Madigan,female,21.0,0,0,7.75,1
3,Mr. Adolf Mathias Nicolai Olsen Humblen,male,42.0,0,0,7.65,0
3,Mrs. Solomon (Latifa Qurban) Baclini,female,24.0,0,3,19.2583,1
1,Mr. James Robert McGough,male,36.0,0,0,26.2875,1
3,Mr. Arthur Keefe,male,39.0,0,0,7.25,0
3,Mr. Frederick Charles Sawyer,male,24.5,0,0,8.05,0
2,Mrs. (Mary) Mack,female,57.0,0,0,10.5,0
1,Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor,female,48.0,1,0,52.0,1
1,Miss. Elise Lurette,female,58.0,0,0,146.5208,1
3,Mr. George Patchett,male,19.0,0,0,14.5,0
3,Miss. Doolina Margaret Ford,female,21.0,2,2,34.375,0
3,Miss. Helmina Josefina Nilsson,female,26.0,0,0,7.8542,1
3,Miss. Mary McGovern,female,22.0,0,0,7.8792,1
2,Master. Viljo Hamalainen,male,0.67,1,1,14.5,1
3,Mr. Juho Tikkanen,male,32.0,0,0,7.925,0
2,Miss. Marion Elsie Smith,female,40.0,0,0,13.0,1
1,Master. Washington Dodge,male,4.0,0,2,81.8583,1
1,Mrs. Martin (Elizabeth L. Barrett) Rothschild,female,54.0,1,0,59.4,1
1,Miss. Mary Conover Lines,female,16.0,0,1,39.4,1
2,Miss. Simonne Marie Anne Andree Laroche,female,3.0,1,2,41.5792,1
1,Mr. Harry Anderson,male,48.0,0,0,26.55,1
1,Mr. Richard Frasar White,male,21.0,0,1,77.2875,0
3,Mr. Kanio Ivanoff,male,20.0,0,0,7.8958,0
3,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,female,27.0,0,2,11.1333,1
1,Miss. Margaret Fleming,female,42.0,0,0,110.8833,1
1,Miss. Daisy E Minahan,female,33.0,1,0,90.0,1
1,Sir. Cosmo Edmund Duff Gordon,male,49.0,1,0,56.9292,1
3,Miss. Matilda Petranec,female,28.0,0,0,7.8958,0
2,Mr. Ennis Hastings Watson,male,19.0,0,0,0.0,0
3,Miss. Torborg Danira Palsson,female,8.0,3,1,21.075,0
1,Mr. John Montgomery Smart,male,56.0,0,0,26.55,0
3,Mr. Eberhard Thelander Fischer,male,18.0,0,0,7.7958,0
3,Mr. Owen George Allum,male,18.0,0,0,8.3,0
3,Miss. Eliina Honkanen,female,27.0,0,0,7.925,1
1,Mrs. George Dennick (Mary Hitchcock) Wick,female,45.0,1,1,164.8667,1
2,Miss. Kate Buss,female,36.0,0,0,13.0,1
3,Mr. John Flynn,male,36.0,0,0,6.95,0
3,Mr. Pehr Fabian Oliver Malkolm Myhrman,male,18.0,0,0,7.75,0
3,Miss. Anna Kristine Salkjelsvik,female,21.0,0,0,7.65,1
3,Mr. William John Rogers,male,30.0,0,0,8.05,0
3,Mr. Jakob Alfred Wiklund,male,18.0,1,0,6.4958,0
3,Miss. Virginia Ethel Emanuel,female,5.0,0,0,12.475,1
3,Miss. Agnes McCoy,female,28.0,2,0,23.25,1
1,Mr. William Thompson Sloper,male,28.0,0,0,35.5,1
3,Mr. Patrick Connors,male,70.5,0,0,7.75,0
3,Mr. Bernard McCoy,male,24.0,2,0,23.25,1
1,Miss. Ann Elizabeth Isham,female,50.0,0,0,28.7125,0
2,Mrs. Amin S (Marie Marthe Thuillard) Jerwan,female,23.0,0,0,13.7917,1
3,Mr. John Henry Perkin,male,22.0,0,0,7.25,0
3,Mr. Olaf Elon Osen,male,16.0,0,0,9.2167,0
3,Mr. William Thomas Beavan,male,19.0,0,0,8.05,0
3,Mr. Jovo Calic,male,17.0,0,0,8.6625,0
1,Mr. Arthur H Gee,male,47.0,0,0,38.5,0
3,Mr. John Viktor Bengtsson,male,26.0,0,0,7.775,0
1,Miss. Helen Loraine Allison,female,2.0,1,2,151.55,0
3,Mr. Ernest Charles Cann,male,21.0,0,0,8.05,0
1,Mr. Henry Blank,male,40.0,0,0,31.0,1
1,Mrs. John C (Anna Andrews) Hogeboom,female,51.0,1,0,77.9583,1
3,Mr. Kristo Laleff,male,23.0,0,0,7.8958,0
3,Miss. Catherine Helen Johnston,female,7.0,1,2,23.45,0
3,Mrs. Edward (Margaret Ann Watson) Ford,female,48.0,1,3,34.375,0
3,Mr. William James Elsbury,male,47.0,0,0,7.25,0
1,Mrs. Thomas Jr (Lily Alexenia Wilson) Potter,female,56.0,0,1,83.1583,1
1,Mr. Frederick Maxfield Hoyt,male,38.0,1,0,90.0,1
3,Mr. Harry Corn,male,30.0,0,0,8.05,0
1,Mr. Wyckoff Van der hoef,male,61.0,0,0,33.5,0
3,Miss. Hanora Healy,female,33.0,0,0,7.75,1
3,Miss. Ellen Natalia Pettersson,female,18.0,0,0,7.775,0
3,Miss. Erna Alexandra Andersson,female,17.0,4,2,7.925,1
3,Mr. Gustaf Joel Johansson,male,33.0,0,0,8.6542,0
1,Mr. Charles H Harrington,male,37.0,0,0,42.4,0
3,Mrs. William (Anna Bernhardina Karlsson) Skoog,female,45.0,1,4,27.9,0
3,Mrs. Nils (Alma Cornelia Berglund) Palsson,female,29.0,0,4,21.075,0
1,Major. Arthur Godfrey Peuchen,male,52.0,0,0,30.5,1
3,Mr. Mitto Denkoff,male,30.0,0,0,7.8958,0
1,Miss. Marie Grice Young,female,36.0,0,0,135.6333,1
3,Mr. Johan Werner Salonen,male,39.0,0,0,7.925,0
2,Rev. John Harper,male,28.0,0,1,33.0,0
2,Master. Michel M Navratil,male,3.0,1,1,26.0,1
3,Mr. Hans Martin Monsen Birkeland,male,21.0,0,0,7.775,0
3,Mr. Joseph Peduzzi,male,24.0,0,0,8.05,0
3,Miss. Elizabeth Dowdell,female,30.0,0,0,12.475,1
1,Mr. John Borland Thayer,male,49.0,1,1,110.8833,0
3,Mr. Lionel Leonard,male,36.0,0,0,0.0,0
2,Mr. Ernst Adolf Sjostedt,male,59.0,0,0,13.5,0
3,Mr. Ivan Stankovic,male,33.0,0,0,8.6625,0
